config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiMXINT8DIM32RocketConfig,mx,32,64,64,64,4338,262144,256,5,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,128,128,128,10183,2097152,2048,20,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,256,256,256,44302,16777216,16384,36,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,4496,262144,1024,22,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,15033,2097152,8192,54,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,104843,16777216,65536,62,PASS
