config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiMXINT8DIM32RocketConfig,mx,32,64,64,64,4317,262144,256,5,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,128,128,128,9855,2097152,2048,20,PASS
GemminiMXINT8DIM32RocketConfig,mx,32,256,256,256,37921,16777216,16384,43,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,4390,262144,1024,23,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,14785,2097152,8192,55,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,104856,16777216,65536,62,PASS
