config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,4492,262144,1024,22,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,14320,2097152,8192,57,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,92765,16777216,65536,70,PASS
