config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,4354,262144,1024,23,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,14065,2097152,8192,58,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,92781,16777216,65536,70,PASS
