config,impl,dim,M,N,K,cycles,macs,ideal_cycles,util_pct,result
GemminiMXINT8DIM16RocketConfig,mx,16,64,64,64,4426,262144,1024,23,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,128,128,128,13866,2097152,8192,59,PASS
GemminiMXINT8DIM16RocketConfig,mx,16,256,256,256,88555,16777216,65536,74,PASS
